season;episode;speaker;Symptom;Test;Drug;Procedure;Intent;diagnosis_stage;Sarcasm;Emotion;Organ;correct_prediction;model_prediction;text;medical_entities
1;1;Wilson;nöbet;;;;açıklama;hipotez;0;nötr;beyin;nörosistiserkozis;;"29 yaşında bir kadın hasta; ilk nöbetini bir ay önce geçirmiş.";"[{""text"": ""nöbet"", ""type"": ""Symptom""}]"
1;1;Wilson;afazi;;;;açıklama;hipotez;0;nötr;beyin;nörosistiserkozis;;Konuşma yetisini kaybetmiş, bebek gibi anlamsız sesler çıkarıyor.;"[{""text"": ""afazi"", ""type"": ""Symptom""}]"
1;1;Wilson;zihinsel durum bozukluğu;;;;açıklama;hipotez;0;nötr;beyin;nörosistiserkozis;;Mental durumu giderek kötüleşiyor.;"[{""text"": ""zihinsel durum bozukluğu"", ""type"": ""Symptom""}]"
1;1;House;;;;;şaka;hipotez;1;alaycı;beyin;nörosistiserkozis;;"Beyin tümörü dediler; ben olsam ben de o tanıyı sevmezdim. Ölecek demenin sıkıcı bir yolu.";"[{""text"": ""beyin tümörü"", ""type"": ""Disease""}]"
1;1;Wilson;;;;;açıklama;hipotez;0;nötr;beyin;nörosistiserkozis;;Onun yaşında beyin tümörü olması pek olası değil.;"[{""text"": ""beyin tümörü"", ""type"": ""Disease""}]"
1;1;Wilson;;protein belirteçleri;;;açıklama;test;0;nötr;beyin;nörosistiserkozis;;En sık görülen üç beyin kanseri için protein belirteçleri negatif çıktı.;"[{""text"": ""protein belirteçleri"", ""type"": ""Test""}, {""text"": ""beyin kanseri"", ""type"": ""Disease""}]"
1;1;Wilson;;;;radyasyon tedavisi;açıklama;değerlendirme;0;nötr;beyin;nörosistiserkozis;;Radyasyon tedavisine de yanıt vermiyor.;"[{""text"": ""radyasyon tedavisi"", ""type"": ""Procedure""}]"
1;1;Foreman;lezyon;MR;;;açıklama;değerlendirme;0;nötr;beyin;nörosistiserkozis;;MR görüntüsünde bir lezyon var.;"[{""text"": ""MR"", ""type"": ""Test""}, {""text"": ""lezyon"", ""type"": ""Symptom""}]"
1;1;House;;;;;hipotez;hipotez;0;nötr;beyin;nörosistiserkozis;;Bence bu bir tümör değil.;"[{""text"": ""tümör"", ""type"": ""Disease""}]"
1;1;House;;BT;;;soru;hipotez;0;nötr;beyin;nörosistiserkozis;;BT'de hiçbir şey yok. Tümör değilse olası tanılarımız neler?;"[{""text"": ""BT"", ""type"": ""Test""}, {""text"": ""tümör"", ""type"": ""Disease""}]"
1;1;Chase;;;;;hipotez;hipotez;0;nötr;beyin;nörosistiserkozis;;Anevrizma, inme ya da başka bir iskemik sendrom olabilir.;"[{""text"": ""anevrizma"", ""type"": ""Disease""}, {""text"": ""inme"", ""type"": ""Disease""}, {""text"": ""iskemik sendrom"", ""type"": ""Disease""}]"
